provider,supportedSecret,secretType,isPublic,hasPushProtection,hasValidityCheck,hasExtendedMetadata,base64Supported
Wakatime,WakaTime OAuth Refresh Token,wakatime_oauth_refresh_token,True,True,False,False,False
Weatherstack,Weatherstack API Key,weatherstack_api_key,False,False,False,False,False
Weights & Biases,Weights & Biases API Key,wandb_api_key,False,True,False,False,False
Workato,Workato Developer API Token,workato_developer_api_token,True,True,True,False,False
WorkOS,WorkOS Production API Key,workos_production_api_key,True,True,False,False,False
WorkOS,WorkOS Staging API Key,workos_staging_api_key,True,True,False,False,False
WSO2,WSO2 Choreo Personal Access Token,wso2_choreo_personal_access_token,True,True,False,False,False
xAI,xAI API Key,xai_api_key,True,True,True,False,False
ZenHub,ZenHub Personal API Key,zenhub_personal_api_key,False,True,False,False,False
Zuplo,Zuplo Consumer API Key,zuplo_consumer_api_key,True,True,True,False,False
